movie_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
372921,False,0,1549897,Directing,Kim Hyeon-Bin,Kim Hyeon-Bin,0.98,,56722eb4c3a3680721000eed,Directing,Director
489245,False,0,1157604,Directing,Dan Krauss,Dan Krauss,0.828,,5a1b5775925141032604997f,Directing,Director
535292,False,2,93223,Directing,Brian Kirk,Brian Kirk,0.746,/6GDT6T9E3vvJTsBDHe2XgGwcG6y.jpg,5b4648c3c3a3685c2000132d,Directing,Director
239459,False,0,1210260,Directing,Stuart Richardson,Stuart Richardson,0.6,,6362e92dd207f3007cdcbc82,Directing,Director
504631,False,0,1976428,Directing,Jeffrey Grellman,Jeffrey Grellman,0.732,,5a80c2900e0a262aa6027784,Directing,Director
504949,False,2,114334,Directing,David Michôd,David Michôd,0.779,/quitkLI98GpeMaqZI4ZSy8s9YWX.jpg,5a829fc40e0a260832006544,Directing,Director
760517,False,1,83153,Directing,Park Hyun-jin,Park Hyun-jin,2.223,/1GGC7T18W7S80MV0tGaEjTcRqJG.jpg,5fa235dc5f2db10036520250,Directing,Director
1065796,False,0,2363057,Directing,Rafal Skalski,Rafal Skalski,0.6,,63a9062d238513007b1e09bd,Directing,Director
609242,False,2,567536,Directing,Ariel Winograd,Ariel Winograd,1.217,,5d068dd20e0a260eddcdbe83,Directing,Director
1109377,False,0,2334349,Directing,Fernando Arditi,Fernando Arditi,0.6,,642e0162c9dbf90097bb201d,Directing,Director
1108443,False,0,3992814,Directing,Valeria Stucki,Valeria Stucki,0.6,,642b0f63c0a30800f2e2f928,Directing,Director
82654,False,2,56661,Directing,Jonathan Levine,Jonathan Levine,2.101,/pPUkEsZZgO4CFQhcGfs2fOoXLdh.jpg,52fe48649251416c9108ad23,Directing,Director
44048,False,2,893,Directing,Tony Scott,Tony Scott,9.373,/zEEbiNa8Pqw3U6pZ8Z2y3dlJJnC.jpg,52fe4674c3a36847f80fff09,Directing,Director
754934,False,2,1310498,Directing,Ivan Kavanagh,Ivan Kavanagh,1.96,/ApKiOpvGnRzlK3QCtbxk1K5haud.jpg,5f8d1548397df0003858c438,Directing,Director
549294,False,2,583479,Directing,Aaron Moorhead,Aaron Moorhead,1.567,/plvZ27ya8yxyyqSCHbwBMjFfJwS.jpg,5ba2cd600e0a265e580012a4,Directing,Director
345920,False,2,5065,Directing,David Frankel,David Frankel,1.513,/xhiIfSUwQmELt4iSDdfAnC2QLBe.jpg,56c345efc3a36825fb002945,Directing,Director
1108371,False,0,3992663,Directing,Ekiem Barbier,Ekiem Barbier,0.6,,642afb9aa3e4ba3248d84d76,Directing,Director
1108371,False,0,3992665,Directing,Guilhem Causse,Guilhem Causse,0.6,,642afba301b1ca0113ccc032,Directing,Director
